scenario,date,window_start,window_end,approach,signal_group,signal_id,observed_seconds,green_seconds,cycle_count,green_minutes,green_share_percent,avg_cycle_time_s,avg_green_per_cycle_s,detector_ids,demand_veh_per_hour,n_detector_measurements,capacity_veh_per_hour,saturation,saturation_level
weekday_evening,2026-03-23,16:00:00,17:00:00,East,K3,3,3601,1322,90,22.03333333333333,36.71202443765621,40.01111111111111,14.688888888888888,8+9,527,8,661.0,0.8,Moderate
weekday_evening,2026-03-23,16:00:00,17:00:00,North_East,K2,2,3601,586,90,9.766666666666667,16.273257428492087,40.01111111111111,6.511111111111111,4+5,165,8,293.0,0.56,Low
weekday_evening,2026-03-23,16:00:00,17:00:00,North_West,K2,2,3601,586,90,9.766666666666667,16.273257428492087,40.01111111111111,6.511111111111111,3,19,4,293.0,0.06,Low
weekday_evening,2026-03-23,16:00:00,17:00:00,South,K4,4,3601,351,90,5.85,9.747292418772563,40.01111111111111,3.9,10,59,4,175.5,0.34,Low
weekday_evening,2026-03-23,16:00:00,17:00:00,West,K1,1,3601,1622,90,27.03333333333333,45.04304359900028,40.01111111111111,18.022222222222226,2+1,269,8,811.0,0.33,Low
weekday_morning,2026-03-10,08:00:00,09:00:00,East,K3,3,3600,1286,90,21.433333333333334,35.72222222222222,40.0,14.28888888888889,8+9,510,8,643.0,0.79,Moderate
weekday_morning,2026-03-10,08:00:00,09:00:00,North_East,K2,2,3600,440,90,7.333333333333333,12.22222222222222,40.0,4.888888888888889,4+5,101,8,220.0,0.46,Low
weekday_morning,2026-03-10,08:00:00,09:00:00,North_West,K2,2,3600,440,90,7.333333333333333,12.22222222222222,40.0,4.888888888888889,3,8,4,220.0,0.04,Low
weekday_morning,2026-03-10,08:00:00,09:00:00,South,K4,4,3600,342,90,5.7,9.5,40.0,3.8,10,12,4,171.0,0.07,Low
weekday_morning,2026-03-10,08:00:00,09:00:00,West,K1,1,3600,1832,90,30.53333333333333,50.888888888888886,40.0,20.355555555555554,2+1,567,8,916.0,0.62,Low
weekend_evening,2026-03-22,16:00:00,17:00:00,East,K3,3,3601,1656,90,27.6,45.98722577061928,40.01111111111111,18.4,8+9,492,8,828.0,0.59,Low
weekend_evening,2026-03-22,16:00:00,17:00:00,North_East,K2,2,3601,652,90,10.866666666666667,18.106081643987785,40.01111111111111,7.2444444444444445,4+5,98,8,326.0,0.3,Low
weekend_evening,2026-03-22,16:00:00,17:00:00,North_West,K2,2,3601,652,90,10.866666666666667,18.106081643987785,40.01111111111111,7.2444444444444445,3,6,4,326.0,0.02,Low
weekend_evening,2026-03-22,16:00:00,17:00:00,South,K4,4,3601,237,90,3.95,6.581505137461815,40.01111111111111,2.6333333333333333,10,29,4,118.5,0.24,Low
weekend_evening,2026-03-22,16:00:00,17:00:00,West,K1,1,3601,1771,90,29.516666666666666,49.18078311580117,40.01111111111111,19.677777777777777,2+1,491,8,885.5,0.55,Low
weekend_morning,2026-03-14,08:00:00,09:00:00,East,K3,3,3600,1911,90,31.85,53.083333333333336,40.0,21.23333333333333,8+9,317,8,955.5,0.33,Low
weekend_morning,2026-03-14,08:00:00,09:00:00,North_East,K2,2,3600,746,90,12.433333333333334,20.72222222222222,40.0,8.28888888888889,4+5,66,8,373.0,0.18,Low
weekend_morning,2026-03-14,08:00:00,09:00:00,North_West,K2,2,3600,746,90,12.433333333333334,20.72222222222222,40.0,8.28888888888889,3,1,4,373.0,0.0,Low
weekend_morning,2026-03-14,08:00:00,09:00:00,South,K4,4,3600,127,90,2.1166666666666667,3.5277777777777777,40.0,1.4111111111111112,10,2,4,63.5,0.03,Low
weekend_morning,2026-03-14,08:00:00,09:00:00,West,K1,1,3600,1920,90,32.0,53.333333333333336,40.0,21.33333333333333,2+1,409,8,960.0,0.43,Low
